Date,^NSEI,^BSESN,BSE-100.BO
2012-02-07,5335.14990234375,17622.44921875,9210.669921875
2012-02-08,5368.14990234375,17707.3203125,9270.75
2012-02-09,5412.35009765625,17830.75,9346.8701171875
2012-02-10,5381.60009765625,17748.689453125,9304.3095703125
2012-02-13,5390.2001953125,17772.83984375,9323.0400390625
2012-02-14,5416.0498046875,17848.5703125,9366.4697265625
2012-02-15,5531.9501953125,18202.41015625,9570.0400390625
2012-02-16,5521.9501953125,18153.990234375,9567.9599609375
2012-02-17,5564.2998046875,18289.349609375,9641.9404296875
2012-02-21,5607.14990234375,18428.609375,9709.0302734375
2012-02-22,5505.35009765625,18145.25,9498.48046875
2012-02-23,5483.2998046875,18078.5,9464.6796875
2012-02-24,5429.2998046875,17923.5703125,9369.9501953125
2012-02-27,5281.2001953125,17445.75,9107.8798828125
2012-02-28,5375.5,17731.119140625,9300.400390625
2012-02-29,5385.2001953125,17752.6796875,9321.490234375
2012-03-01,5339.75,17583.970703125,9251.2900390625
2012-03-02,5359.35009765625,17636.80078125,9276.400390625
2012-03-05,5280.35009765625,17362.869140625,9145.330078125
2012-03-06,5222.39990234375,17173.2890625,9049.7197265625
2012-03-07,5220.4501953125,17145.51953125,9035.919921875
2012-03-09,5333.5498046875,17503.240234375,9232.490234375
2012-03-12,5359.5498046875,17587.669921875,9285.599609375
2012-03-13,5429.5,17813.619140625,9401.0400390625
2012-03-14,5463.89990234375,17919.30078125,9462.580078125
2012-03-15,5380.5,17675.849609375,9314.4296875
2012-03-16,5317.89990234375,17466.19921875,9197.4599609375
2012-03-19,5257.0498046875,17273.369140625,9082.8095703125
2012-03-20,5274.85009765625,17316.1796875,9121.0400390625
2012-03-21,5364.9501953125,17601.7109375,9283.08984375
2012-03-22,5228.4501953125,17196.470703125,9049.1201171875
2012-03-23,5278.2001953125,17361.740234375,9135.5
2012-03-26,5184.25,17052.779296875,8968.2197265625
2012-03-27,5243.14990234375,17257.359375,9064.01953125
2012-03-28,5194.75,17121.619140625,8981.259765625
2012-03-29,5178.85009765625,17058.609375,8973.259765625
2012-03-30,5295.5498046875,17404.19921875,9164.0595703125
2012-04-02,5317.89990234375,17478.150390625,9219.0
2012-04-03,5358.5,17597.419921875,9296.48046875
2012-04-04,5322.89990234375,17486.01953125,9246.0
2012-04-09,5234.39990234375,17222.140625,9099.5302734375
2012-04-10,5243.60009765625,17243.83984375,9110.9296875
2012-04-11,5226.85009765625,17199.400390625,9079.26953125
2012-04-12,5276.85009765625,17332.619140625,9152.650390625
2012-04-13,5207.4501953125,17094.509765625,9050.3095703125
2012-04-16,5226.2001953125,17150.94921875,9085.1796875
2012-04-17,5289.7001953125,17357.939453125,9188.23046875
2012-04-18,5300.0,17392.390625,9208.0703125
2012-04-19,5332.39990234375,17503.7109375,9248.7099609375
2012-04-20,5290.85009765625,17373.83984375,9175.58984375
2012-04-23,5200.60009765625,17096.6796875,9022.16015625
2012-04-24,5222.64990234375,17207.2890625,9053.6298828125
2012-04-25,5202.0,17151.2890625,9018.099609375
2012-04-26,5189.0,17130.669921875,8989.8203125
2012-04-27,5190.60009765625,17134.25,8981.990234375
2012-04-30,5248.14990234375,17318.810546875,9083.4697265625
2012-05-02,5239.14990234375,17301.91015625,9066.580078125
2012-05-03,5188.39990234375,17151.189453125,8978.9296875
2012-05-04,5086.85009765625,16831.080078125,8810.240234375
2012-05-07,5114.14990234375,16912.7109375,8862.9501953125
2012-05-08,4999.9501953125,16546.1796875,8670.1201171875
2012-05-09,4974.7998046875,16479.580078125,8611.2998046875
2012-05-10,4965.7001953125,16420.05078125,8595.330078125
2012-05-11,4928.89990234375,16292.98046875,8530.16015625
2012-05-14,4907.7998046875,16215.83984375,8487.669921875
2012-05-15,4942.7998046875,16328.25,8549.8095703125
2012-05-16,4858.25,16030.08984375,8413.919921875
2012-05-17,4870.2001953125,16070.48046875,8427.599609375
2012-05-18,4891.4501953125,16152.75,8463.3203125
2012-05-21,,16183.259765625,8492.2001953125
2012-05-22,4860.5,16026.41015625,8413.830078125
2012-05-23,4835.64990234375,15948.099609375,8368.73046875
2012-05-24,4921.39990234375,16222.2998046875,8500.3603515625
2012-05-25,4920.39990234375,16217.8203125,8509.9697265625
2012-05-28,4985.64990234375,16416.83984375,8617.4599609375
2012-05-29,4990.10009765625,16438.580078125,8623.4501953125
2012-05-30,4950.75,16312.150390625,8542.9697265625
2012-05-31,4924.25,16218.5302734375,8520.919921875
2012-06-01,4841.60009765625,15965.16015625,8372.490234375
2012-06-04,4848.14990234375,15988.400390625,4861.35009765625
2012-06-05,4863.2998046875,16020.6396484375,4873.18994140625
2012-06-06,4997.10009765625,16454.30078125,5000.3798828125
2012-06-07,5049.64990234375,16649.05078125,5052.72998046875
2012-06-08,5068.35009765625,16718.869140625,5073.2998046875
2012-06-11,5054.10009765625,16668.009765625,5054.85009765625
2012-06-12,5115.89990234375,16862.80078125,5116.27978515625
2012-06-13,5121.4501953125,16880.509765625,5120.2900390625
2012-06-14,5054.75,16677.880859375,5052.60009765625
2012-06-15,5139.0498046875,16949.830078125,5131.16015625
2012-06-18,5064.25,16705.830078125,5053.43017578125
2012-06-19,5103.85009765625,16859.80078125,5094.2099609375
2012-06-20,5120.5498046875,16896.630859375,5116.080078125
2012-06-21,5165.0,17032.560546875,5161.2099609375
2012-06-22,5146.0498046875,16972.509765625,5143.47021484375
2012-06-25,5114.64990234375,16882.16015625,5113.419921875
2012-06-26,5120.7998046875,16906.580078125,5127.7099609375
2012-06-27,5141.89990234375,16967.759765625,5148.02001953125
2012-06-28,5149.14990234375,16990.759765625,5150.31005859375
2012-06-29,5278.89990234375,17429.98046875,5279.22021484375
2012-07-02,5278.60009765625,17398.98046875,5286.8798828125
2012-07-03,5287.9501953125,17425.7109375,5306.18994140625
2012-07-04,5302.5498046875,17462.810546875,5320.93994140625
2012-07-05,5327.2998046875,17538.669921875,5344.66015625
2012-07-06,5316.9501953125,17521.119140625,5331.56982421875
2012-07-09,5275.14990234375,17391.98046875,5284.740234375
2012-07-10,5345.35009765625,17618.349609375,5354.06005859375
2012-07-11,5306.2998046875,17489.140625,5321.0
2012-07-12,5235.25,17232.55078125,5256.7998046875
2012-07-13,5227.25,17213.69921875,5244.14013671875
2012-07-16,5197.25,17103.310546875,5216.7900390625
2012-07-17,5192.85009765625,17105.30078125,5207.72998046875
2012-07-18,5216.2998046875,17185.009765625,5227.02978515625
2012-07-19,5242.7001953125,17278.849609375,5251.0400390625
2012-07-20,5205.10009765625,17158.439453125,5219.740234375
2012-07-23,5117.9501953125,16877.349609375,5131.18994140625
2012-07-24,5128.2001953125,16918.080078125,5147.5400390625
2012-07-25,5109.60009765625,16846.05078125,5123.419921875
2012-07-26,5043.0,16639.8203125,5058.43017578125
2012-07-27,5099.85009765625,16839.189453125,5100.81005859375
2012-07-30,5199.7998046875,17143.6796875,5202.0498046875
2012-07-31,5229.0,17236.1796875,5229.16015625
2012-08-01,5240.5,17257.380859375,5243.35009765625
2012-08-02,5227.75,17224.359375,5237.0400390625
2012-08-03,5215.7001953125,17197.9296875,5223.31005859375
2012-08-06,5282.5498046875,17412.9609375,5279.39013671875
2012-08-07,5336.7001953125,17601.779296875,5329.759765625
2012-08-08,5338.0,17600.560546875,5326.43994140625
2012-08-09,5322.9501953125,17560.869140625,5313.580078125
2012-08-10,5320.39990234375,17557.740234375,5307.56982421875
2012-08-13,5347.89990234375,17633.44921875,5341.3701171875
2012-08-14,5380.35009765625,17728.19921875,5369.669921875
2012-08-16,5362.9501953125,17657.2109375,5350.66015625
2012-08-17,5366.2998046875,17691.080078125,5352.7099609375
2012-08-21,5421.0,17885.259765625,5405.2099609375
2012-08-22,5412.85009765625,17846.859375,5393.31982421875
2012-08-23,5415.35009765625,17850.220703125,5390.16015625
2012-08-24,5386.7001953125,17783.2109375,5368.080078125
2012-08-27,5350.25,17678.810546875,5328.47021484375
2012-08-28,,17631.7109375,5308.3798828125
2012-08-29,5287.7998046875,17490.810546875,5266.580078125
2012-08-30,5315.0498046875,17541.640625,5284.89013671875
2012-08-31,5258.5,17380.75,5239.02978515625
2012-09-03,5253.75,17384.400390625,5234.85986328125
2012-09-04,5274.0,17440.869140625,5259.2998046875
2012-09-05,5225.7001953125,17313.33984375,5214.66015625
2012-09-06,5238.39990234375,17346.26953125,5227.5498046875
2012-09-07,5342.10009765625,17683.73046875,5320.330078125
2012-09-10,5363.4501953125,17766.779296875,5343.14013671875
2012-09-11,5390.0,17852.94921875,5366.8701171875
2012-09-12,5431.0,18000.029296875,5402.8798828125
